pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2013042711,2,2013,8,8,2003,0,0,1,1,99,1,3
2013037672,1,2013,7,6,2013,0,0,1,1,3,1,3
2013037672,2,2013,7,0,0,0,0,1,17,99,0,3
2013038872,1,2013,8,2,2010,0,0,1,9,1,,3
2013053295,1,2013,3,6,2008,0,0,1,1,99,,3
2013053295,2,2013,3,6,2006,0,0,1,1,3,1,3
2013044288,1,2013,9,7,2013,0,0,1,1,3,1,3
2013005644,1,2013,7,8,2003,0,0,1,1,1,1,3
2013005644,2,2013,7,6,2010,0,0,1,1,4,1,3
2013035995,1,2013,7,2,2010,0,0,1,10,1,1,3
2013052508,1,2013,10,6,2012,0,0,1,1,99,1,3
2013052508,2,2013,10,0,0,0,0,1,15,99,0,3
2013009499,2,2013,10,2,2013,1122,0,1,9,99,1,3
2013031689,1,2013,10,6,2008,0,0,1,1,99,,3
2013031689,2,2013,10,13,2013,0,0,1,6,99,14,3
2013013960,2,2013,5,8,1999,0,0,1,1,99,,3
2013050811,1,2013,10,8,1996,0,0,1,1,99,,3
2013002636,1,2013,10,13,2008,0,0,1,11,16,11,3
2013017320,1,2013,8,6,2006,0,0,1,1,3,,3
2013023302,1,2013,10,6,2005,0,0,1,1,99,,3
2013023302,2,2013,10,12,2003,0,0,1,11,36,11,3
2013028239,1,2013,10,5,1998,0,0,1,1,5,1,3
2013028183,1,2013,10,5,2003,0,0,1,1,99,1,3
2013035518,1,2013,10,9,2012,0,0,1,1,3,2,3
2013035518,2,2013,10,8,2008,0,0,1,1,3,,3
2013043739,1,2013,10,8,2010,0,0,1,1,99,1,3
2013043739,2,2013,10,8,1998,0,0,1,1,99,,3
2013043739,3,2013,10,6,2011,0,0,1,1,99,1,3
2013056221,1,2013,10,6,2006,0,0,1,1,3,,3
2013056221,2,2013,10,8,2009,0,0,1,12,4,,3
2013052968,1,2013,9,6,1994,0,0,1,1,99,1,3
2013052968,2,2013,9,6,1997,0,0,1,1,5,,3
2013047392,1,2013,10,5,2010,0,0,1,1,3,1,3
2013047392,2,2013,10,9,2004,0,0,1,1,99,,3
2013038669,1,2013,10,6,2011,0,0,1,1,2,1,3
2013038669,2,2013,10,6,2010,0,0,1,1,4,1,3
2013046548,1,2013,10,6,2006,0,0,1,1,99,,3
2013046548,2,2013,10,6,2005,0,0,1,1,99,1,3
2013016997,1,2013,9,6,2008,0,0,1,1,99,,3
2013016997,2,2013,9,9,2007,0,0,1,12,4,,3
2013008863,1,2013,10,6,2000,0,0,1,1,99,,3
2013008863,2,2013,10,6,1997,0,0,1,1,4,,3
2013057243,1,2013,10,12,2011,0,0,1,11,51,11,3
2013021237,1,2013,10,8,2006,0,0,1,1,3,1,3
2013021237,2,2013,10,6,2013,0,0,1,1,3,1,3
2013008133,1,2013,10,6,2002,0,0,1,1,99,1,3
2013008133,2,2013,10,8,2011,0,0,1,1,4,2,3
2013041571,1,2013,10,13,2002,0,0,1,7,99,16,3
2013041571,2,2013,10,0,0,0,0,1,15,99,0,3
