pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2010000155,1,1,2,2640,164,,9999,,,,,,51,2010,8,29,1,4,5,1,9,3,2,8,0,3,1,0,3,3,6,,1,1,9,9,9,0,0,9,4,42,422,0,16,3,194910,666911
2010000158,1,1,2,2600,147,,6003,,,,,,33,2010,8,12,1,4,5,5,9,3,2,8,1,0,1,0,3,4,3,,1,1,9,9,9,0,0,9,6,62,625,0,16,1,194852,384991
2010000160,1,1,4,0,,,,,31,0,120,,34,2010,8,17,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,187530,583440
2010000161,1,1,4,0,,,,,3,0,2420,,38,2010,8,12,1,4,5,5,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,175857,625517
2010000162,1,1,2,8400,403,,9999,,,,,,52,2010,8,13,1,4,5,6,9,3,2,8,1,0,1,0,4,5,3,,9,1,9,9,9,0,0,9,4,44,441,0,14,3,181721,646142
2010000165,1,1,2,70,801,,9999,,,,,,38,2010,8,10,1,4,5,3,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,61,613,0,9,3,166302,631864
2010000166,1,1,1,2600,251,266,,8780141,,,,,33,2010,8,9,1,4,5,2,0,2,2,9,3,0,1,0,3,4,3,1,9,1,9,9,9,0,0,9,6,62,625,0,16,1,194349,384922
2010000168,1,1,1,70,256,622,,10150056,,,,,38,2010,7,28,1,4,5,4,0,2,2,8,0,3,1,0,3,3,3,6,1,1,9,9,9,0,0,9,6,61,613,0,9,1,164535,632056
2010000169,1,1,1,2640,125,119,,7500002,,,,,51,2010,7,22,1,4,5,5,0,3,2,8,0,2,1,0,2,3,6,6,1,1,9,9,9,0,0,9,4,42,422,0,16,1,195898,667384
2010000170,1,1,2,7900,957,,9999,,,,,,51,2010,7,13,1,4,5,3,9,3,2,8,3,0,1,0,3,3,6,,1,1,9,9,9,0,0,9,4,42,422,0,14,3,187335,666472
2010000173,1,1,2,8400,403,,152,,,,,,52,2010,7,9,1,4,5,6,9,3,2,8,2,0,1,0,3,3,6,,1,1,9,9,9,0,0,9,4,44,441,0,14,1,182334,644517
2010000174,1,1,4,0,,,,,25,0,1780,,34,2010,6,16,1,4,5,4,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,3,192448,567547
2010000176,1,1,1,70,704,731,,8810052,,,,,38,2010,6,2,1,4,5,4,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,61,613,0,9,1,166911,632089
2010000179,1,1,1,9000,405,402,,310044,,,,,34,2010,6,21,1,4,5,2,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,6,62,623,0,14,1,180082,573845
2010000181,1,1,1,1200,100,112,,90001,,,,,52,2010,7,1,1,4,5,5,0,3,2,8,1,0,1,0,3,3,6,6,1,1,9,9,9,0,0,9,4,43,431,0,15,1,201439,645278
2010000183,1,1,3,0,,,,,232,334,597,1793,38,2010,5,24,1,4,5,2,0,3,2,9,0,1,0,0,3,5,6,6,9,9,9,9,9,0,0,9,9,99,999,99,99,1,163035,604316
2010000184,1,1,2,1200,305,,1,,,,,,51,2010,5,19,1,1,5,4,9,3,2,9,0,3,3,0,4,5,3,2,1,1,9,9,9,0,0,9,4,43,431,0,15,1,200895,644106
2010000185,1,1,3,0,,,,,35,0,214,4179,38,2010,5,14,1,4,5,6,0,1,2,1,0,3,4,0,2,3,6,5,1,1,9,9,9,0,0,9,9,99,999,99,99,1,181652,612130
2010000187,1,1,2,168,190,,9999,,,,,,51,2010,5,3,1,4,5,2,9,3,2,8,3,0,0,0,2,3,6,,1,1,9,9,9,0,0,9,4,41,411,99,17,2,194201,691707
2010000188,1,1,1,9000,1047,1063,,11410312,,,,,34,2010,4,23,1,4,5,6,0,3,2,8,0,3,0,0,4,3,6,6,1,1,9,9,9,0,0,9,6,62,623,0,14,1,178836,571931
2010000189,1,1,2,1200,442,,9999,,,,,,51,2010,4,9,1,4,5,6,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,43,431,0,15,3,201268,646607
2010000192,1,1,1,7900,129,124,,9380014,,,,,51,2010,4,1,1,3,5,5,1,3,2,8,9,0,1,0,3,3,6,2,1,1,9,9,9,0,0,9,4,42,422,0,14,1,188866,666700
2010000193,1,1,4,0,,,,,57,0,20,,51,2010,4,12,1,4,5,2,9,3,2,8,0,3,5,0,4,5,6,,1,1,6,1,9,0,0,9,9,99,999,99,99,1,189539,692199
2010000194,1,1,1,8300,233,291,,18040008,,,,,52,2010,4,13,1,4,5,3,1,3,2,8,0,3,1,0,2,3,6,2,1,1,9,9,9,0,0,9,4,44,442,0,10,1,180377,651735
2010000195,1,1,1,7000,509,561,,12820001,,,,,52,2010,3,10,1,4,5,4,0,3,2,8,0,3,1,0,2,3,6,5,1,1,9,9,9,0,0,9,4,43,431,0,15,1,188930,650636
2010000196,1,1,2,2640,111,,12,,,,,,51,2010,2,10,1,4,5,4,9,3,2,8,0,2,1,0,0,3,6,5,1,1,9,9,9,0,0,9,4,42,422,0,16,1,195789,667740
2010000197,1,1,2,1161,0,,9999,,,,,,34,2010,2,9,1,4,5,3,9,3,2,8,3,0,1,0,4,3,3,,1,1,9,9,9,0,0,9,6,62,623,0,26,2,177015,589029
2010000199,1,1,2,8400,442,,22,,,,,,52,2010,2,12,1,4,5,6,9,3,2,8,3,0,1,0,0,3,6,,1,1,9,9,9,0,0,9,4,44,441,0,14,1,182546,644739
2010000200,1,1,1,168,112,118,,180021,,,,,51,2010,2,5,1,4,5,6,1,2,2,8,0,3,2,0,2,5,3,2,9,1,9,9,9,0,0,9,4,41,411,99,17,1,194167,691382
2010000201,1,1,2,7900,1107,,9999,,,,,,51,2010,2,3,1,4,5,4,9,3,2,8,3,0,1,0,0,3,6,,9,9,9,9,9,0,0,9,4,42,422,0,14,3,186440,666735
2010000202,1,1,2,8400,416,,1,,,,,,52,2010,1,17,1,4,5,1,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,441,0,14,3,182083,644642
2010000203,1,1,1,7900,107,110,,9710014,,,,,51,2010,1,15,1,4,5,6,9,3,2,8,0,3,1,0,2,3,3,7,1,1,9,9,9,0,0,9,4,42,422,0,14,1,190177,667015
2010000204,1,1,2,8300,287,,9999,,,,,,52,2010,1,10,1,4,5,1,9,3,2,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,4,44,442,0,10,3,181356,651632
2010000205,1,1,2,8500,301,,23,,,,,,52,2010,1,5,1,4,5,3,9,3,2,8,3,0,1,0,2,3,3,,1,1,9,9,9,0,0,9,4,43,431,0,15,1,187606,649086
2010000209,1,1,3,0,,,,,443,446,140,4071,52,2010,1,13,1,4,5,4,1,3,3,9,0,2,5,0,4,5,6,2,9,1,9,9,9,0,0,9,9,99,999,99,99,1,201702,646618
2010000211,1,1,2,6900,523,,9999,,,,,,51,2010,1,21,1,4,5,5,9,3,3,9,0,3,0,0,3,5,3,,2,2,9,9,9,0,0,9,4,42,421,0,15,3,193890,675648
2010000212,1,1,4,0,,,,,40,0,2800,,51,2010,1,22,1,4,5,6,9,3,3,9,0,2,5,0,0,5,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,191192,654888
2010000229,1,1,4,0,,,,,2,0,490,,51,2010,2,26,1,4,5,6,9,3,3,9,9,0,5,0,0,5,4,,2,2,9,9,9,0,0,9,9,99,999,99,99,1,187356,696734
2010000248,1,1,4,0,,,,,6,0,1730,,38,2010,4,28,1,4,5,4,9,3,3,9,0,2,7,0,4,5,5,,9,1,9,9,9,0,0,9,9,99,999,99,99,1,201730,698192
2010000258,1,1,4,0,,,,,6,0,1600,,51,2010,5,31,1,4,5,2,9,3,3,8,0,2,4,0,2,5,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,199520,685815
2010000279,1,1,2,2550,127,,9999,,,,,,52,2010,7,12,1,4,5,2,9,3,3,9,9,0,1,0,0,3,3,,1,1,9,9,9,0,0,9,4,44,441,99,17,3,178190,635605
2010000280,1,1,4,0,,,,,40,0,2770,,52,2010,7,12,1,4,5,2,9,3,3,8,0,3,5,0,4,3,6,,3,1,9,9,9,0,0,9,9,99,999,99,99,1,191161,652002
2010000292,1,1,4,0,,,,,2,0,340,,51,2010,8,5,1,4,5,5,9,3,3,8,9,0,5,0,3,5,3,,9,1,9,9,9,0,0,9,9,99,999,99,99,1,184593,683587
2010000297,1,1,4,0,,,,,40,0,1970,,34,2010,8,16,1,4,5,2,9,3,3,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,180075,583823
2010000304,1,1,4,0,,,,,60,0,50,,34,2010,9,6,1,4,5,2,9,3,3,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,184621,574920
2010000307,1,1,2,9000,304,,4,,,,,,34,2010,9,13,1,4,5,2,9,3,3,8,3,0,1,0,4,5,3,,1,1,9,9,9,0,0,9,6,62,623,0,14,1,179142,573218
