pk_teuna_fikt,mispar_rehev_fikt,SHNAT_TEUNA,HODESH_TEUNA,NEFAH,SHNAT_YITZUR,KIVUNE_NESIA,MATZAV_REHEV,SHIYUH_REHEV_LMS,SUG_REHEV_LMS,MEKOMOT_YESHIVA_LMS,MISHKAL_KOLEL_LMS,SUG_TIK
2014016729,1,2014,3,2,2006,3344,0,1,10,99,,1
2014016729,2,2014,3,8,2004,3344,0,1,1,99,1,1
2014072338,1,2014,5,6,2010,3344,0,1,1,3,1,1
2014072338,2,2014,5,11,2006,2211,0,1,1,99,,1
2014036074,1,2014,5,13,2007,4433,0,1,11,53,11,1
2014036074,2,2014,5,9,2008,6655,0,1,1,3,,1
2014036074,3,2014,5,0,0,4433,0,1,1,99,0,1
2014079239,1,2014,5,8,2005,4433,0,1,1,99,,1
2014079239,2,2014,5,0,0,1122,0,1,15,99,0,1
2014095425,1,2014,5,12,1997,2211,0,1,11,39,11,1
2014029614,1,2014,5,6,2000,6677,0,1,1,99,,1
2014029614,2,2014,5,7,2013,6633,0,1,12,3,2,1
2014063304,1,2014,5,0,0,1122,0,6,17,99,0,1
2014085659,1,2014,5,3,2008,4433,0,1,10,99,1,1
2014085659,2,2014,5,6,2011,4433,0,1,12,3,2,1
2014080787,1,2014,5,6,2002,4433,0,1,1,99,,1
2014080787,2,2014,5,8,2007,4433,0,1,1,4,1,1
2014017565,1,2014,5,6,2011,1122,0,1,1,3,1,1
2014017565,2,2014,5,3,2014,3344,0,1,10,1,1,1
2014051754,1,2014,5,6,2009,4433,0,1,1,3,1,1
2014051754,2,2014,5,0,0,2211,0,1,17,99,0,1
2014039150,1,2014,5,4,2009,2211,0,1,14,99,1,1
2014027469,1,2014,5,6,2011,4433,0,1,1,3,1,1
2014058019,1,2014,5,6,2008,2211,0,1,1,99,,1
2014093010,1,2014,5,6,2009,2233,0,1,17,3,1,1
2014093010,2,2014,5,9,2001,3344,0,1,3,3,2,1
2014093010,3,2014,5,6,2011,2233,0,1,1,3,1,1
2014033582,1,2014,5,6,2010,4433,0,1,1,3,1,1
2014033582,2,2014,5,11,2001,2211,0,1,4,99,8,1
2014048389,1,2014,5,5,2000,2211,0,1,1,99,1,1
2014048389,2,2014,5,8,2008,3344,0,1,1,3,,1
2014064304,1,2014,5,8,2008,4444,0,1,1,99,2,1
2014064304,2,2014,5,2,2013,1122,0,1,9,1,,1
2014067310,1,2014,5,6,2009,1122,0,1,1,99,,1
2014028917,1,2014,5,8,2008,4433,0,1,1,99,2,1
2014066513,1,2014,5,6,2008,2211,0,1,1,99,,1
2014099165,1,2014,5,0,0,1122,0,1,17,99,0,1
2014049361,1,2014,5,6,1998,3344,0,1,1,4,1,1
2014083294,1,2014,5,2,2008,6611,0,1,9,99,,1
2014027393,1,2014,5,6,2010,2211,0,1,1,3,1,1
2014027393,2,2014,5,8,2001,1122,0,1,1,99,1,1
2014026199,1,2014,5,8,2005,6655,0,1,1,99,,1
2014026199,2,2014,5,2,2011,2244,0,1,9,1,1,1
2014070345,1,2014,5,6,2010,4433,0,1,1,3,1,1
2014070345,2,2014,5,0,0,0,0,1,17,99,0,1
2014096016,1,2014,5,5,2012,1166,0,1,1,3,1,1
2014096016,2,2014,5,2,2013,2211,0,1,9,99,,1
2014085381,1,2014,5,6,2010,2211,0,1,1,99,1,1
2014090348,1,2014,5,8,1999,4433,0,1,1,99,,1
2014026389,1,2014,5,2,2011,2211,0,1,9,99,1,1
2014026389,2,2014,5,6,2007,1144,0,1,1,3,1,1
2014057277,1,2014,5,12,2002,3344,0,1,4,7,4,1
2014039429,1,2014,6,8,2002,2211,0,1,1,99,,1
2014069706,1,2014,6,6,1997,4433,0,1,1,99,,1
2014069706,2,2014,6,6,2013,2211,0,1,2,3,2,1
2014073130,1,2014,6,8,2006,4433,0,1,1,4,1,1
2014073130,2,2014,6,6,2006,1122,0,1,1,99,,1
2014051034,1,2014,6,2,2011,2211,0,1,9,1,1,1
2014051034,2,2014,6,6,2009,4433,0,1,1,3,1,1
2014092427,1,2014,6,6,1996,3344,0,1,1,99,,1
2014092427,2,2014,6,8,2008,2211,0,1,1,3,,1
2014082784,1,2014,6,13,2012,4433,0,1,11,53,13,1
2014082784,2,2014,6,13,2007,4433,0,1,11,35,11,1
2014027514,1,2014,6,6,2008,1122,0,1,1,99,,1
2014027514,2,2014,6,6,2012,3344,0,1,1,99,1,1
2014038853,1,2014,6,7,2010,1122,0,1,1,3,2,1
2014038853,2,2014,6,6,2004,2211,0,1,1,3,,1
2014088333,1,2014,5,6,2005,1122,0,1,1,99,,1
2014028194,1,2014,6,6,2002,1122,0,1,1,4,,1
2014028194,2,2014,6,6,2006,4433,0,1,1,99,,1
2014028194,3,2014,6,9,2013,3344,0,1,3,3,3,1
2014042238,1,2014,6,6,2005,4433,0,1,1,99,,1
2014042238,2,2014,6,7,2009,4444,0,1,1,3,1,1
2014042238,3,2014,6,6,2011,4433,0,1,1,3,1,1
2014042238,4,2014,6,9,2008,4433,0,1,1,4,2,1
2014080633,1,2014,6,6,2010,4433,0,1,1,99,1,1
2014080633,2,2014,6,7,2001,4433,0,1,1,99,1,1
2014080633,3,2014,6,0,2011,4433,0,3,1,99,0,1
2014055610,1,2014,6,6,2012,8822,0,1,1,3,1,1
2014055610,2,2014,6,6,2001,2277,0,1,1,99,1,1
2014045081,1,2014,6,6,2003,1122,0,1,1,99,1,1
2014045081,2,2014,6,0,0,2233,0,1,17,99,0,1
2014036309,1,2014,6,6,2009,1122,0,1,1,3,,1
2014036309,2,2014,6,6,2009,4433,0,1,1,99,1,1
2014023420,1,2014,6,6,2013,2211,0,1,12,3,1,1
2014023420,2,2014,6,2,2014,2211,0,1,9,1,,1
2014070674,1,2014,6,6,2012,1144,0,1,1,99,1,1
2014070674,2,2014,6,0,0,4411,0,1,17,99,0,1
2014060414,1,2014,6,8,2004,2211,0,1,1,99,1,1
2014060414,2,2014,6,6,2011,2211,0,1,1,1,1,1
2014051325,1,2014,6,6,2004,1350,0,1,1,1,,1
2014051325,2,2014,6,8,2008,1122,0,1,1,99,2,1
2014019611,1,2014,6,2,2011,4433,0,1,9,1,1,1
2014019611,2,2014,6,0,0,3344,0,1,17,99,0,1
2014051168,1,2014,6,6,2010,4433,0,1,1,3,1,1
2014021960,1,2014,6,10,2002,4433,0,1,4,99,8,1
2014096754,1,2014,6,6,2009,3344,0,1,1,99,1,1
2014096754,2,2014,6,8,2000,2211,0,1,1,99,,1
2014066179,1,2014,6,0,0,3344,0,1,17,99,0,1
2014066179,2,2014,6,0,0,0,0,1,17,99,0,1
2014051670,1,2014,6,6,2006,2211,0,1,1,3,,1
2014051670,2,2014,6,6,2009,3344,0,1,1,3,1,1
