kod,teur,X_Lamas,Y_Lamas
521,צומת הגדי,162699.0937,591678.3137
523,צומת שרשרת,162626.6105,591812.1188
525,כניסה לנתיבות,162145.7712,592717.5016
527,צומת נתיבות,161967.1576,593250.9056
529,כניסה לעזתה,161454.1879,593512.6914
531,כניסה לתקומה,159559.7311,594854.9994
533,צומת שוקדה,158134.9112,595577.1215
535,כניסה לשובה,157502,596068
536,צומת סעד-בארי,155749.4791,597243.7508
537,צומת סעד,155219.2489,597731.5587
539,כניסה לנחל עוז,152772,598623
541,מחלף עידן הנגב,180394,586802
543,צומת שוקת,190634.3016,579583.6205
545,צומת ערד,219981.52,573695.1201
547,צומת חתרורים,223695.7691,569736.0015
549,צומת זוהר,234287,561130
551,כניסה לגבים,161043,601442
553,צומת שער הנגב,160794.9084,601897.1209
555,כניסה לניר עם,160714,602999
557,כניסה לאור הנר מערב,160252,606965
559,כניסה לארז (מזרח),160272,607307
561,כניסה לגברעם (דרום),159834.2018,608498.4991
563,צומת משען,164506.5911,619200.6189
565,צומת גבעתי מערב,168030,618051.9999
567,כניסה לשדה יואב,169731.9999,617332
571,כניסה למצודת יואב,169888.4091,617319.9988
573,צומת נהורה,171575.1193,617168.0015
575,כניסה ליד נתן,172214.7008,617066.6016
577,צומת פלוגות,177055.669,614921.0616
579,כניסה לקריית גת,178159.3382,614299.6181
581,כניסה למבחור,178260.8286,614252.9998
583,צומת קריית גת (צפון),179226.6989,613477.8079
585,כניסה למרכז לכיש,180127.8097,612778.9991
587,כניסה לשדה משה,181577.9999,612154.9999
589,כניסה ליער המלאכים,183468.5792,611144.6918
591,צומת לכיש,184664.3323,610336.0581
593,כניסה לתל מורשה,189820,612754
595,כניסה לקיבוץ בית גוברין,190210,612883
597,צומת גוברין,189307,612492
599,צומת נחושה,190867.1984,613239.6202
609,כניסה למצפה משואה,193676.7988,619551.3792
613,צומת לי און,193943.3005,619988.9985
615,כניסה לתל עזקה,194990.7322,620819.2508
617,צומת האלה,195004.6923,621653.6884
619,צומת תל עזקה,194700.8781,623318.5123
621,כניסה לכפר זכריה,195201.4406,623816.0015
623,כניסה לבית ג`מל,196887,626787.0001
625,כניסה לישעי,197665.0001,628388
627,כניסה לבית שמש,197855.9381,628652.2501
629,צומת צרעה,198436.0001,629286.0001
631,צומת בית שמש (מרכז ביג),198651.0001,629309
633,כניסה לנחם,200006,630780
635,מחלף הרטוב ,199911,630608
637,כניסה לבית הקברות,200303,631080.0001
639,צומת שמשון,200627.421,631410.1881
641,צומת אשתאול,201187,631720
645,כניסה למסילת ציון,201470.8609,634031.1901
647,צומת כביש ירושלים,201951.0605,635276.6199
649,צומת קטורה,207167.5499,433416.2203
651,כניסה להר עיט,205323.8847,436918.9458
652,צומת שיזפון (עובדה),201138.1516,439958.7866
653,צומת ציחור,201805.5198,465302.789
654,כניסה לאזור התעשייה,162782,619848.0001
655,כניסה למצפה רמון דרום,181063.0001,502584.0001
657,כניסה לעבדת,177670,522422
659,כניסה לעין עבדת,176454.0208,525391.3118
661,כניסה למדרשת בן גוריון,177937.9999,529366.0001
663,כניסה לשדה בוקר,179505.2686,531681.882
665,צומת חלוקים,180217.3009,532580.2484
667,צומת טללים,177266.9803,544518.5604
669,צומת משאבים,178968.1486,546640.9468
671,כניסה למשאבי שדה,179469,547189
681,מחלף דבירה,179587,592418
683,מחלף בית קמה,178340.9999,594585
687,כניסה לאחוזם,177637.4494,607029.3114
689,צומת איתן (אבן שמואל),177162,609072.9999
690,כניסה לעוזה,177054.9505,611130.0599
691,צומת קריית גת,176762.8397,611808.6185
693,צומת קוממיות,177762.0001,617691
695,צומת נחלה,178339.122,619439.4062
697,כניסה לניר בנים,177808,620745
699,כניסה לקדמה,177217,622836
703,כניסה לתימורים,176749,625242
709,כניסה לברורים,179421.4103,630655.8783
711,כניסה לבני ראם (מערב),179203.0903,631228.9997
713,כניסה לחצב,178924.0008,632172.6911
715,צומת חפץ חיים,177994.0019,633789.3807
717,צומת חצור אשדוד,177656,634312
719,מחלף גדרה,177767,634722.0001
721,צומת תל נוף,179636.5894,638215.19
725,כניסה לגבעת ברנר,181967.7193,640949.1911
727,צומת ברנר,182538,641532
729,צומת בילו,183035.4195,642067.3796
731,צומת נען,184390,643749
733,כניסה לסתרייה,184846.1701,644441.6215
735,כניסה לישרש,186674,646725.0001
737,צומת מצליח,187513,647341.0001
743,מחלף רמלוד,189167,647874
745,צומת גינתון,191319,651545
746,צומת אחיסמך,189849,648894
747,צומת גשר לוד (לוד העתיקה),190897,653175
749,צומת אל על,191399.438,655372.4392
751,"כניסה לנתב""ג",191126,655316
753,צומת תעשייה אווירית,191323,656905.0001
755,צומת בדק,191269,658314
757,צומת הטייסים,191440,659110
759,כניסה לבארות יצחק,191264,661113
761,צומת רינתיה-מזור,191217,661621
763,כניסה למגשימים,191163,662002.0001
765,כניסה לנחלים (דרום),191087.9999,662535
767,כניסה לנחלים (צפון),190992,663463
769,כניסה לשערייה (צפון),191054.9999,664752
770,כניסה לשערייה (דרום),191059.0001,664490.9999
771,צומת סירקין,190940,665511.9999
773,צומת גנים,190864,667095
775,צומת סגולה,190521,667671
777,כניסה לכפר הבפטיסטים,191009,669203
779,צומת עדנים,190974,670691
781,כניסה לנווה נאמן (דרום),190700.4791,671095.7516
783,כניסה לנווה נאמן (צפון),190357.0493,671648.4382
787,כניסה לספורטן,190216.6214,672305.2517
789,כניסה לגני עם,190236,673046.0001
791,צומת רמתיים,190223.5906,673639.4388
793,"צומת כפר מל""ל",190155.1407,674971.7484
795,צומת כפר סבא,189926.4787,675803.94
797,כניסה לנמל אשדוד ישן,167211,637219.0001
799,צומת נמל אשדוד,168952,637394
801,כניסה לניר גלים,170231,637502
803,כניסה לבני דרום,170934,637718
809,כניסה לקבוצת יבנה,172991,636682
811,מחלף בית רבן,174585,636528
813,כניסה לכנות,176881,635195
815,כניסה לכפר אביב,172892.5011,637695.811
817,צומת בן זכאי,174175.7989,639565.8109
819,כניסה לבן זכאי,175536.0001,640785
821,צומת יבנה,176352,642274.9999
823,צומת יבנה (צפון),176500.5811,642927.2496
825,כניסה לכפר הנגיד,177080.6606,644226.5622
827,כניסה לדאר,177490.3308,644886.441
829,כניסה לעיינות,178482.9404,647027.7488
831,צומת בית עובד,178421.5499,647608.6917
833,כניסה לבית חנן,179189.7009,649326.0011
835,כניסה לנטעים (מזרח),179412,650180
837,כניסה לרשלצ רח שפרינצק,179851.0889,651863.2503
839,כניסה לתרום,197782,633715
843,כניסה לכפר אוריה,195527,634337
845,כניסה להראל,194792.1603,635116.0607
847,כניסה לצלפון,193706.2788,635429.3102
851,צומת פדיה,190159.2791,641080.1902
853,כניסה לפתחיה,189940.9804,641619.4406
855,כניסה לבית עוזיאל,189896,642487
857,צומת גזר,189508,645458.0001
858,כניסה לרמלה (דרום),189321.3892,647316.8445
859,צומת רמלה - צפון,187434.6413,649587.6207
863,צומת צריפין,185368,652965
865,"צומת חב""ד",184709,654031.9999
867,צומת בית דגן,183236.8297,656523.7483
869,כניסה למשמר השבעה,182906,657036
871,כניסה למכון המטאורולוגי,182893,657055.9999
873,יישוב אזור רח` קפלן,182049.0001,658422.0001
875,יישוב חולון רח` המלאכה,181803.0001,658744
