UNIQ_ID,FCODE_TYPE,SETL_CODE,SETL_NAME,NAME,LATIN_NAME,USG_GROUP,USG_CODE,E_ORD,N_ORD,LON,LAT,DATA_YEAR,PRDCT_VER,X,Y
54446792,252,31,אופקים,בית ספר - בן גוריון,,13,5310,163518.0656,579414.5128,34.61692651,31.30515539,0,,163518.0656,579414.5128
54449285,252,31,אופקים,ישיבה - לצעירים,,13,5340,164552.5414,579824.9958,34.62776977,31.30890664,0,,164552.5414,579824.9958
54448693,252,31,אופקים,גן ילדים - רשת מרגלית מעון יום,,13,5305,164200.6629,579744.554,34.62407805,31.30816451,2014,7/1/2015,164200.6629,579744.554
60590686,252,1294,אור הגנוז,בית ספר - תלמוד תורה,,13,5310,241937.4554,767774.2221,35.4450808,33.00487487,2014,7/1/2015,241937.4554,767774.2221
54452848,252,2400,אור יהודה,בית ספר - הדרים,,13,5310,186340.2077,659349.1827,34.85395161,32.02691288,0,,186340.2077,659349.1827
54450472,252,2400,אור יהודה,בית ספר - מעלה סביונים,,13,5310,187213.2439,659718.0856,34.86318086,32.03026482,0,,187213.2439,659718.0856
54451714,252,2400,אור יהודה,בית ספר - תפארת יעקב,,13,5310,186282.5709,659380.1567,34.85334042,32.02719051,0,,186282.5709,659380.1567
54451438,252,2400,אור יהודה,בית ספר - אלונים,,13,5310,187304.0357,659620.172,34.86414524,32.02938443,0,,187304.0357,659620.172
54450281,252,2400,אור יהודה,גן ילדים - מוסדות שערי ציון,Mosdot Sha'are Tsiyyon Kindergarten,13,5305,187339.05,659935.1205,34.86450541,32.0322256,0,,187339.05,659935.1205
54450899,252,2400,אור יהודה,בית ספר - אהוד מנור,,13,5310,188157.0635,659431.4894,34.87318141,32.02770682,0,,188157.0635,659431.4894
54450319,252,2400,אור יהודה,בית ספר - יסודי ממלכתי דתי סעדיה גאון,,13,5312,185469.665,659669.7239,34.84472513,32.02977768,0,,185469.665,659669.7239
54447028,252,2400,אור יהודה,בית ספר - מקיף פרקאוף,,13,5330,187177.3777,659929.5359,34.8627941,32.03217064,0,,187177.3777,659929.5359
54449131,252,2400,אור יהודה,בית ספר - נס דוד,,13,5310,186250.5047,659391.4866,34.85300059,32.02729174,0,,186250.5047,659391.4866
54447212,252,2400,אור יהודה,ישיבה - הגדולה ברכת יצחק,,13,5340,186510.485,658839.8913,34.85577149,32.0223251,2014,7/1/2015,186510.485,658839.8913
54449571,252,2400,אור יהודה,גן ילדים - גן רותי,,13,5305,187204.7723,659343.1631,34.86310372,32.02688356,2014,7/1/2015,187204.7723,659343.1631
54448703,252,2400,אור יהודה,"גן ילדים - ויצ""ו",WIZO Kindergarten,13,5305,187408.2848,659791.78,34.8652431,32.03093493,0,,187408.2848,659791.78
54451953,252,2400,אור יהודה,בית ספר - מכתב מאליהו,,13,5310,185409.2993,659730.3756,34.84408396,32.03032281,0,,185409.2993,659730.3756
54448024,252,2400,אור יהודה,בית ספר - יסודי שיזף,,13,5310,186630.2178,660087.2181,34.8569964,32.03357686,2014,7/1/2015,186630.2178,660087.2181
54450122,252,2400,אור יהודה,גן ילדים - דתי גן תדהר,,13,5305,186522.045,659138.8172,34.85588364,32.02502112,0,,186522.045,659138.8172
54450476,252,2400,אור יהודה,בית ספר - ממלכתי דתי אור חנה,,13,5332,187366.9097,659215.2641,34.8648243,32.02573479,0,,187366.9097,659215.2641
54449876,252,2400,אור יהודה,בית ספר - ממלכתי על שם הולנדר,,13,5310,185595.9899,659921.7342,34.84605353,32.03205406,0,,185595.9899,659921.7342
54452120,252,2400,אור יהודה,בית ספר - מכתב מאליהו,,13,5310,185466.7526,659820.6058,34.84468897,32.03113822,0,,185466.7526,659820.6058
54448036,252,2400,אור יהודה,בית ספר - אור אבנר,,13,5312,187184.7139,659401.6871,34.86288943,32.02741075,2014,7/1/2015,187184.7139,659401.6871
64763973,252,1020,אור עקיבא,בית ספר - דרור,,13,5310,192257.8318,713750.1777,34.91503977,32.51763756,0,,192257.8318,713750.1777
54446446,252,1020,אור עקיבא,קרית חינוך עתידים,,13,5300,192488.8274,712011.6837,34.91754801,32.50196672,2014,7/1/2015,192488.8274,712011.6837
54446562,252,1020,אור עקיבא,בית ספר - רבי עקיבא,,13,5310,192274.7402,712683.6,34.91525053,32.50802036,0,,192274.7402,712683.6
54449230,252,1020,אור עקיבא,בית ספר - רוטשילד,,13,5310,192250.77,713838.2912,34.91496207,32.51843193,0,,192250.77,713838.2912
54451850,252,1020,אור עקיבא,בית ספר - ברנקו וייס,,13,5337,192319.8193,713062.4928,34.91571932,32.51143804,0,,192319.8193,713062.4928
54452058,252,1020,אור עקיבא,בית ספר - עציון,,13,5312,192406.823,713078.359,34.91664476,32.51158323,0,,192406.823,713078.359
64763944,252,1020,אור עקיבא,גן ילדים - בן גוריון,,13,5305,192733.5441,713330.0633,34.9201146,32.51386082,0,,192733.5441,713330.0633
64764006,252,1020,אור עקיבא,גן ילדים - ארז,Erez Kindergarten,13,5305,192592.4359,713104.4477,34.91861932,32.51182298,0,,192592.4359,713104.4477
54448489,252,1020,אור עקיבא,בית ספר - נחמיה תמרי,,13,5310,193288.6333,711741.5345,34.92606619,32.49954983,0,,193288.6333,711741.5345
54447603,252,1020,אור עקיבא,בית ספר - חנה סנש,,13,5310,192688.7216,711844.276,34.91967983,32.50046199,2014,7/1/2015,192688.7216,711844.276
54452526,252,1020,אור עקיבא,בית ספר - אופק,,13,5330,192939.856,712499.2532,34.92233364,32.50637413,2014,7/1/2015,192939.856,712499.2532
64843990,252,1020,אור עקיבא,ישיבה - שערי תורה,,13,5340,192170.7928,712798.1015,34.91414104,32.5090503,2014,7/1/2015,192170.7928,712798.1015
54449556,252,1020,אור עקיבא,בית ספר - אור שלום,,13,5310,192476.4497,713275.7391,34.91738007,32.51336475,0,,192476.4497,713275.7391
64763970,252,1020,אור עקיבא,גן ילדים צליל,Kindergarten,13,5305,193081.2571,712256.6713,34.92384515,32.50419006,0,,193081.2571,712256.6713
64764026,252,1020,אור עקיבא,גן ילדים - חברים,,13,5305,192736.6735,711639.0674,34.92019589,32.49861272,2014,7/1/2015,192736.6735,711639.0674
65109617,252,882,אורנים,מכללת אורנים,,13,5370,210491.5455,735308.8616,35.10889213,32.71233386,2014,7/1/2015,210491.5455,735308.8616
54449174,252,565,אזור,בית ספר - מדעי תורני מימון,,13,5312,182322.0734,658790.3006,34.81143903,32.02174824,0,,182322.0734,658790.3006
54450310,252,565,אזור,גן ילדים - דתי,,13,5305,182160.3534,659173.8605,34.8097124,32.02520182,0,,182160.3534,659173.8605
54447375,252,565,אזור,בית ספר - רבין,,13,5320,181157.5416,659775.92,34.79907341,32.03059761,0,,181157.5416,659775.92
54447148,252,565,אזור,בית ספר - השבעה,,13,5310,182022.3434,658584.7053,34.80827439,32.01988434,2014,7/1/2015,182022.3434,658584.7053
54448090,252,565,אזור,בית ספר - יוספטל,,13,5310,181988.2192,659311.457,34.80788496,32.02643696,0,,181988.2192,659311.457
65108522,252,1330,אחוזת ברק,גן ילדים - גן האושר,Gan Ha'Osher Kindergarten,13,5305,231811.9146,727888.2957,35.33619592,32.64538896,2014,7/1/2015,231811.9146,727888.2957
65108821,252,77,איילת השחר,בית ספר יסודי - מבוא הגליל,,13,5310,253897.3212,769838.8323,35.57313897,33.02317814,2014,7/1/2015,253897.3212,769838.8323
54447134,252,2600,אילת,"בית ספר - מ""מ אלמוג",,13,5310,194738.4423,385560.995,34.9494565,29.55763523,2014,7/1/2015,194738.4423,385560.995
54448314,252,2600,אילת,בית ספר - תהילת ישראל,,13,5337,194157.4589,385982.9139,34.94345184,29.56142989,0,,194157.4589,385982.9139
54452353,252,2600,אילת,המרכז הלאומי לחקלאות ימית,,13,5420,197164.4912,384859.0258,34.97450408,29.55134815,0,,197164.4912,384859.0258
54450020,252,2600,אילת,בית ספר - איילת השחר,,13,5312,194995.7861,386110.3829,34.95209959,29.56259656,0,,194995.7861,386110.3829
54450838,252,2600,אילת,"בית ספר - מ""מ הרי אילת",,13,5310,192972.5842,384310.8414,34.93126584,29.54632083,0,,192972.5842,384310.8414
54448596,252,2600,אילת,אוניברסיטת - בן גוריון בנגב קמפוס אילת,,13,5380,194899.265,386579.1697,34.95109303,29.56682379,2014,7/1/2015,194899.265,386579.1697
54452199,252,2600,אילת,מכללה - למנהל אילת,,13,5370,194769.2848,385260.4569,34.94978155,29.55492455,0,,194769.2848,385260.4569
54447025,252,2600,אילת,בית ספר - היובל,,13,5310,193181.9603,384688.0524,34.93341696,29.54972824,0,,193181.9603,384688.0524
54448748,252,2600,אילת,גן ילדים - גן ערבה,Gan Arava Kindergarten,13,5305,195229.5699,386151.779,34.95451108,29.56297457,2014,7/1/2015,195229.5699,386151.779
54450529,252,2600,אילת,גן ילדים - גן נאות מרגלית,,13,5305,194498.6921,385124.5146,34.94699262,29.55369278,0,,194498.6921,385124.5146
54446704,252,2600,אילת,האוניברסיטה - למחקר ימי,,13,5380,191591.7384,379434.268,34.91714355,29.50229701,0,,191591.7384,379434.268
60590826,252,2600,אילת,בית ספר שדה - אילת,,13,5411,191962.1976,380263.6765,34.92094319,29.5097877,0,,191962.1976,380263.6765
54450060,252,2600,אילת,גן ילדים - גן שחף,Gan Shahaf Kindergarten,13,5305,194154.2869,385411.975,34.94343235,29.55627914,0,,194154.2869,385411.975
54450963,252,2600,אילת,"בי""ס הבינלאומי למלונאות ותיירות",International School for Hotel & Tourism,13,5370,194890.7834,386677.8317,34.95100328,29.56771369,2014,7/1/2015,194890.7834,386677.8317
54451314,252,2600,אילת,"מקיף מ""מ מנחם בגין",Menahem Begin Makif,13,5330,193750.7292,386181.47,34.93925016,29.56321283,2014,7/1/2015,193750.7292,386181.47
54447779,252,2600,אילת,"מקיף מ""מ ע""ש יגאל אלון",Yig'al Allon Makif Ort,13,5330,194789.9611,386327.609,34.94997076,29.56455219,2014,7/1/2015,194789.9611,386327.609
54450008,252,2600,אילת,"בי""ס לפגועי נפש בית אסי",Bet Asia Mentally Injured People School,13,5300,195214.2387,385957.1646,34.95435721,29.56121858,0,,195214.2387,385957.1646
54451905,252,2600,אילת,בית ספר - ימין הרצוג,,13,5312,194084.2839,386371.3119,34.94268771,29.5649323,2014,7/1/2015,194084.2839,386371.3119
54447830,252,2600,אילת,"בית ספר - חב""ד אור אבנר",,13,5312,194757.7588,386201.9994,34.9496413,29.56341838,0,,194757.7588,386201.9994
54448074,252,2600,אילת,"בית ספר - מ""מ אופיר",,13,5310,194092.2215,385390.9879,34.94279242,29.55608855,0,,194092.2215,385390.9879
54449914,252,2600,אילת,"בי""ס מ""מ חינוך מיוחד אורים",Urim Special Education State School,13,5300,193989.85,386395.8575,34.94171265,29.56515181,2014,7/1/2015,193989.85,386395.8575
54450686,252,2600,אילת,"בית ספר - מ""מ עציון גבר ללימודי הסביבה",,13,5310,193802.0231,385601.7763,34.9397931,29.55798423,0,,193802.0231,385601.7763
54452537,252,2600,אילת,"בית ספר - מ""מ מצפה ים",,13,5310,193232.75,385391.1817,34.9339241,29.55607253,0,,193232.75,385391.1817
54452821,252,2600,אילת,"בית ספר - מ""מ צאלים",,13,5310,193322.0361,385877.8224,34.93483372,29.56046459,2014,7/1/2015,193322.0361,385877.8224
54448597,252,2600,אילת,"מקיף מ""מ יצחק רבין",Yits'hak Rabin Makif,13,5330,193530.6979,385091.9419,34.93700554,29.55337919,0,,193530.6979,385091.9419
54452916,252,2600,אילת,גן ילדים - גן פז,Gan Paz Kindergarten,13,5305,194211.5523,386079.8471,34.94400778,29.56230546,0,,194211.5523,386079.8471
54451597,252,2600,אילת,בית ספר - ישיבתית ימין הרצוג,,13,5321,194412.3517,386217.7335,34.94607665,29.56355344,0,,194412.3517,386217.7335
54449882,252,2600,אילת,"בית ספר - מ""מ יעלים",,13,5310,195075.3818,386232.1248,34.95291821,29.5636964,2014,7/1/2015,195075.3818,386232.1248
60546468,252,2600,אילת,בית ספר גלים,School,13,5300,193478.3621,384475.2608,34.93648021,29.54781476,2014,7/1/2015,193478.3621,384475.2608
54446684,252,2600,אילת,"מקיף מ""מ עירוני גולדווטר",Goldwater,13,5330,194738.7439,385187.8337,34.94946807,29.55426878,0,,194738.7439,385187.8337
61078795,252,1359,אל סייד,בית ספר - אל סייד א,,13,5310,192342.41,576977.874,34.91976284,31.28420772,0,,192342.41,576977.874
61078804,252,1359,אל סייד,בית ספר - אל סייד ג,,13,5310,191820.8184,576718.0939,34.91429238,31.28185251,2014,7/1/2015,191820.8184,576718.0939
61078810,252,1359,אל סייד,בית ספר - אל סייד ב,,13,5310,190736.1648,577303.5957,34.90288508,31.28710691,0,,190736.1648,577303.5957
