"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Kefar Weradim",60,0,1,0,0,16,176,192,"2,164 ","2,417 ","5,700 ","כפר ורדים"
"Kafar Yasif",70,4,36,0,19,84,487,571,"2,850 ","3,550 ","9,100 ","כפר יאסיף"
"Kefar Yona",361,1,40,3,12,116,690,806,"5,886 ","7,109 ","20,000 ","כפר יונה"
"Kafar Kama",38,0,5,0,0,14,113,127,"926 ","1,096 ","3,100 ","כפר כמא"
"Kafar Kanna",35,9,19,57,64,264,"1,002","1,266","4,381 ","5,831 ","20,000 ","כפר כנא"
"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS (1),",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות (1),"
"                   BY TYPE OF VEHICLE (Cont'd)",,,,,,,,,,,,"              לפי סוג כלי רכב (המשך)"
"Absolute numbers",,,,,,2012,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Kafar Manda",21,7,41,5,196,123,632,755,"3,327 ","4,352 ","17,800 ","כפר מנדא"
"Kafar Qara",121,3,7,44,42,249,911,"1,160","4,518 ","5,895 ","16,500 ","כפר קרע"
"Kefar Shemaryahu",61,1,5,0,0,23,139,162,"1,030 ","1,259 ","1,800 ","כפר שמריהו"
"Kefar Tavor",40,1,0,1,1,48,142,190,"1,260 ","1,493 ","3,200 ","כפר תבור"
"Lehavim",62,0,9,93,6,28,147,175,"2,317 ","2,662 ","6,200 ","להבים"
"Laqye",9,0,0,21,90,86,466,552,"1,397 ","2,069 ","10,200 ","לקיה"
"Mevasseret Ziyyon",334,15,82,23,10,148,661,809,"8,709 ","9,982 ","24,500 ","מבשרת ציון"
"Mughar",22,3,30,3,55,146,803,949,"4,566 ","5,628 ","20,700 ","מגאר"
"Majd Al-Kurum",59,2,12,13,29,123,454,577,"3,043 ","3,735 ","14,000 ","מג'ד אל-כרום"
"Migdal",36,1,4,0,3,30,90,120,"470 ","634 ","1,700 ","מגדל"
"Majdal Shams",27,5,9,6,44,198,815,"1,013","2,508 ","3,612 ","10,200 ","מג'דל שמס"
"Mazkeret Batya",178,4,32,0,3,108,385,493,"3,583 ","4,293 ","10,700 ","מזכרת בתיה"
"Mazra'a",69,1,5,1,1,33,167,200,"826 ","1,103 ","3,500 ","מזרעה"
"Metula",27,0,1,0,2,33,121,154,"613 ","797 ","1,600 ","מטולה"
"Metar",78,1,18,2,3,38,233,271,"2,704 ","3,077 ","6,900 ","מיתר"
"Mas'ade",4,1,0,4,20,53,351,404,"824 ","1,257 ","3,300 ","מסעדה"
"Mi'elya",11,1,6,2,10,33,262,295,"994 ","1,319 ","3,100 ","מעיליא"
"Ma'ale Efrayim",17,0,0,0,2,12,39,51,"346 ","416 ","1,100 ","מעלה אפרים"
"Ma'ale Iron",33,5,7,1,28,129,713,842,"2,765 ","3,681 ","13,700 ","מעלה עירון"
"Mizpe Ramon",28,0,0,6,6,15,194,209,"948 ","1,197 ","5,100 ","מצפה רמון"
"Meshhed",15,1,12,4,22,206,410,616,"1,389 ","2,059 ","7,400 ","משהד"
"Nahef",36,6,13,1,19,38,474,512,"2,290 ","2,877 ","11,700 ","נחף"
"Sajur",2,0,20,0,9,8,91,99,"813 ","943 ","3,900 ","סאג'ור"
