pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2017000350,1,1,1,7900,817,129,,9270033,,,,,51,2017,6,14,46,4,1,4,9,3,1,9,1,0,1,1,0,3,1,7,1,1,9,9,9,3,3,2,4,42,422,0,13,1,189053,665778
2017000352,1,1,2,7100,653,,9999,,,,,,38,2017,6,9,62,4,1,6,9,3,1,9,0,3,1,1,3,3,1,6,1,1,9,9,9,3,3,1,6,61,614,0,14,3,159893,618922
2017000354,1,1,2,3000,1728,,9,,,,,,61,2017,3,8,61,4,1,4,9,3,9,9,3,0,1,1,3,3,1,7,1,1,9,9,9,0,0,9,1,11,111,0,12,3,221703,629634
2017000358,1,1,1,5000,2371,2327,,21730815,,,,,20,2017,2,28,76,4,5,3,1,3,1,8,1,0,1,1,4,3,3,2,1,1,9,9,9,1,4,1,5,51,511,0,13,1,179069,662749
2017000362,1,1,1,1139,303,304,,750001,,,,,12,2017,6,23,31,4,1,6,9,3,2,8,3,0,1,1,3,3,1,7,1,1,9,9,9,0,0,9,2,24,242,0,16,1,229848,758582
2017000396,1,2,4,0,,,,,449,0,178,,43,2017,9,2,44,4,1,7,9,3,10,4,2,0,4,0,0,1,1,,1,1,8,5,9,0,0,9,9,99,999,99,99,1,222210,654419
2017000411,1,1,2,507,9000,,36,,,,,,11,2017,1,7,67,4,1,7,9,3,2,8,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,2,24,245,99,28,2,215589,762117
2017000423,1,1,4,0,,,,,581,0,161,,11,2017,1,28,75,4,5,7,9,3,2,8,2,0,4,1,4,3,3,6,2,2,9,9,9,0,0,9,9,99,999,99,99,1,191137,700030
2017000437,1,1,4,0,,,,,444,0,220,,51,2017,3,14,68,4,1,3,9,3,3,8,3,0,5,1,4,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,200708,687334
2017000448,1,1,1,5000,404,627,,70343,,,,,20,2017,3,7,75,4,5,3,9,3,4,8,3,0,1,1,2,3,6,7,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178835,665047
2017000449,1,1,2,502,0,,9999,,,,,,11,2017,8,22,79,4,5,3,9,3,4,9,9,0,0,0,0,5,6,,9,9,6,9,9,0,0,9,2,24,243,99,27,2,219741,762237
2017000458,1,1,3,0,,,,,553,0,67,2127,51,2017,1,26,71,4,5,5,1,3,2,8,0,2,3,1,3,3,3,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,190964,685132
2017000470,1,1,2,3000,1105,,4,,,,,,61,2017,2,2,81,4,5,5,9,3,4,8,0,3,4,1,2,3,3,,1,1,9,9,9,0,0,9,1,11,111,0,12,3,218795,632247
2017000474,1,1,2,5000,2766,,9999,,,,,,20,2017,9,17,50,4,1,1,9,3,10,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,511,0,13,3,181858,661440
2017000482,1,1,4,0,,,,,754,0,604,,14,2017,4,3,43,4,1,2,9,3,2,8,2,0,1,1,4,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,232714,740736
2017000484,1,1,4,0,,,,,65,0,220,,11,2017,6,23,92,4,5,6,9,3,3,9,0,3,5,1,2,3,3,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,190536,708957
2017000485,1,1,2,1292,201,,9999,,,,,,11,2017,2,1,32,4,1,4,9,3,18,9,3,0,1,1,3,3,1,,1,9,9,9,9,0,0,9,2,24,246,99,26,2,214092,759331
2017000499,1,2,4,0,,,,,1,0,734,,43,2017,6,28,70,4,1,4,9,3,11,5,1,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,193652,652400
2017000510,1,1,2,6100,503,,156,,,,,,20,2017,6,26,88,4,5,2,9,3,1,9,0,2,1,1,3,3,6,,1,1,9,9,9,3,2,1,5,51,512,0,14,1,184836,666659
2017000520,1,1,2,2710,0,,9999,,,,,,11,2017,5,4,32,4,1,5,9,3,8,9,0,5,1,1,2,3,1,7,1,6,1,9,9,0,0,9,3,32,323,0,25,2,214510,713989
2017000523,1,1,1,3000,1451,1362,,28040411,,,,,61,2017,2,7,95,4,5,3,1,3,2,9,0,3,4,0,4,3,3,2,1,1,9,9,9,0,0,9,1,11,111,0,12,1,218030,628506
2017000546,1,1,1,8700,367,362,,10240011,,,,,51,2017,7,17,59,4,1,2,1,3,8,9,0,3,1,1,2,3,1,2,1,1,8,2,9,0,0,9,4,42,421,0,15,1,189279,678188
2017000566,1,1,4,0,,,,,4,0,1560,,11,2017,3,18,81,4,5,7,9,3,8,8,0,2,5,1,3,3,3,,1,1,3,2,9,0,0,9,9,99,999,99,99,1,210184,777777
2017000581,1,1,1,6600,113,108,,40011,,,,,20,2017,9,5,45,4,1,3,0,3,2,8,1,0,1,1,3,3,1,6,1,1,9,9,9,0,0,9,5,51,513,0,14,1,181846,657744
2017000583,1,1,2,1031,0,,9999,,,,,,38,2017,8,11,5,4,5,6,9,3,1,8,3,0,1,3,1,3,3,,1,1,9,9,9,3,9,9,6,61,614,0,16,2,161485,604137
2017000592,1,1,1,5000,2648,1554,,15130624,,,,,20,2017,2,8,83,4,5,4,1,3,2,8,0,3,1,1,3,3,3,2,1,1,9,9,9,0,0,9,5,51,511,0,13,1,179776,662964
2017000593,1,1,2,481,0,,9999,,,,,,12,2017,4,17,95,1,5,2,9,3,2,9,2,0,1,1,4,3,3,,1,1,9,9,9,0,0,9,2,22,222,99,26,2,238897,754717
2017000594,1,1,1,8200,210,104,,12340005,,,,,11,2017,3,15,52,4,1,4,0,3,1,8,0,3,1,1,1,3,1,6,1,1,9,9,9,3,3,1,3,31,311,0,16,1,207381,747948
2017000597,1,1,2,365,,,9999,,,,,,14,2017,2,24,65,4,1,6,9,3,1,8,3,0,1,1,1,3,1,,1,1,9,9,1,8,0,9,2,22,222,3,33,2,237204,736065
2017000598,1,1,2,6300,301,,21,,,,,,20,2017,2,15,49,4,1,4,9,3,1,9,2,0,1,1,3,4,1,,1,1,9,9,7,0,0,9,5,51,512,0,15,1,182082,664605
2017000601,1,1,1,229,101,103,,60001,,,,,20,2017,9,4,65,4,1,2,9,3,2,9,0,3,1,1,0,3,1,7,1,1,9,9,9,0,0,9,4,42,422,99,17,1,188446,663341
2017000603,1,1,2,4000,242,,6,,,,,,11,2017,6,25,36,4,1,1,9,3,8,8,1,0,1,1,1,3,1,,1,1,5,9,7,0,0,9,3,31,311,0,13,1,205554,747280
2017000606,1,1,2,3000,4762,,36,,,,,,61,2017,5,2,53,1,1,3,9,3,8,8,0,3,4,1,2,3,1,,1,1,6,2,9,0,0,9,1,11,111,0,12,3,222660,635752
2017000613,1,1,2,4000,635,,9999,,,,,,11,2017,7,6,33,4,1,5,9,2,1,8,0,3,1,1,3,3,1,,1,1,9,9,9,3,3,2,3,31,311,0,13,3,198876,746126
2017000615,1,1,4,0,,,,,99,0,130,,12,2017,3,16,64,4,1,5,9,2,5,9,3,0,4,1,2,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,253968,791885
2017000617,1,1,4,0,,,,,77,0,608,,14,2017,7,23,86,4,5,1,9,3,3,8,0,3,2,1,5,3,3,6,1,1,9,9,9,0,0,9,9,99,999,99,99,1,222181,740434
2017000632,1,1,2,874,241,,9999,,,,,,14,2017,7,14,91,4,5,6,9,2,8,9,0,3,1,1,5,3,10,,1,1,1,1,9,0,0,9,2,23,237,0,16,3,222998,731464
2017000647,1,1,1,2650,224,209,,7200004,,,,,20,2017,1,30,70,4,5,2,1,3,2,8,1,0,1,1,4,3,6,2,1,1,9,9,9,0,0,9,5,51,511,0,16,1,184818,672233
2017000653,1,1,2,5000,116,,15,,,,,,20,2017,5,6,53,4,1,7,9,2,5,8,1,0,1,1,3,3,1,6,1,1,9,9,9,0,0,9,5,51,511,0,13,1,181050,667921
2017000655,1,1,2,3000,828,,13,,,,,,61,2017,7,24,33,4,1,2,9,3,2,8,3,0,1,1,2,3,1,,1,1,9,9,9,0,0,9,1,11,111,0,12,1,220291,630706
2017000666,1,1,4,0,,,,,762,0,10,,11,2017,4,12,59,3,1,4,9,3,3,9,3,0,3,1,3,4,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,208602,740840
2017000673,1,1,4,0,,,,,5714,0,10,,51,2017,6,23,65,4,1,6,9,3,5,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,202979,696290
2017000683,1,1,1,2500,138,199,,15710083,,,,,11,2017,3,3,65,4,1,6,1,3,2,9,0,3,3,1,3,3,1,2,9,2,8,4,9,0,0,9,3,31,311,0,16,1,204207,740877
2017000695,1,1,2,355,0,,9999,,,,,,51,2017,4,10,43,2,1,2,9,3,13,8,1,0,1,1,1,3,1,,1,6,9,9,9,0,0,9,4,42,421,20,33,2,197440,671617
2017000706,1,1,1,4000,378,348,,7720223,,,,,11,2017,10,8,61,3,1,1,0,3,1,8,1,0,1,1,2,3,1,6,1,1,9,9,9,9,0,9,3,31,311,0,13,1,200066,747345
2017000707,1,1,1,5000,2860,2720,,80150931,,,,,20,2017,10,29,22,4,5,1,0,3,1,9,3,0,1,1,2,3,3,7,1,1,9,9,9,3,3,1,5,51,511,0,13,1,180358,661648
2017000712,1,1,2,2600,217,,9999,,,,,,33,2017,10,19,35,4,1,5,9,3,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,3,3,1,6,62,625,0,15,2,194192,385107
2017000715,1,1,4,0,,,,,4,0,870,,52,2017,6,10,79,4,1,7,9,2,4,8,0,2,5,1,4,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,210201,777844
2017000717,1,1,1,8600,1806,1726,,7700231,,,,,20,2017,7,26,83,4,5,4,9,3,1,9,9,0,0,0,0,5,6,7,9,9,9,9,9,0,0,9,5,51,512,0,14,1,183474,662302
2017000733,1,1,3,0,,,,,2,0,225,3747,20,2017,4,23,61,4,1,1,1,2,2,8,1,0,5,1,5,3,1,2,1,1,9,9,9,0,0,9,9,99,999,99,99,1,181613,672692
2017000737,1,1,4,0,,,,,899,0,65,,11,2017,2,22,59,4,1,4,9,3,3,8,3,0,2,1,3,3,1,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,211162,775538
2017000747,1,1,4,0,,,,,35,0,50,,38,2017,10,24,69,4,1,3,9,2,8,9,9,0,0,0,0,5,11,,9,9,6,2,9,0,0,9,9,99,999,99,99,1,162771,619419
2017000786,1,1,1,5000,1241,1235,,50546,,,,,20,2017,3,3,31,4,1,6,9,2,4,8,1,0,1,1,2,3,1,7,1,1,9,9,9,0,0,9,5,51,511,0,13,1,178504,663668
2017000787,1,1,1,9000,102,995,,1180021,,,,,34,2017,6,25,82,4,5,1,1,3,5,8,1,0,2,1,3,3,10,2,1,1,9,9,9,0,0,9,6,62,623,0,13,1,182049,572666
2017000792,1,1,2,654,0,,9999,,,,,,11,2017,6,17,67,4,1,7,9,3,15,9,0,1,1,1,2,3,1,7,1,1,9,9,9,0,0,9,3,32,323,99,27,2,205073,712383
2017000801,1,1,4,0,,,,,8510,0,50,,11,2017,10,15,4,4,5,1,9,1,5,9,9,0,0,0,0,5,6,,9,9,9,9,9,0,0,9,9,99,999,99,99,1,208823,761888
