"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS,(1)",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות,(1)"
"                   BY TYPE OF VEHICLE",,,,,,,,,,,,"               לפי סוג כלי רכב"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Kafar Bara",18,0,10,2,12,92,206,298,"717 ","1,057 ","3,071 ","כפר ברא"
"Kefar Weradim",60,0,1,0,0,16,167,183,"2,181 ","2,425 ","5,667 ","כפר ורדים"
"Kafar Yasif",77,1,36,0,14,87,471,558,"2,992 ","3,678 ","9,114 ","כפר יאסיף"
"Kefar Yona",377,1,44,5,10,118,614,732,"6,238 ","7,407 ","19,962 ","כפר יונה"
"Kafar Kama",55,0,4,0,0,19,111,130,"974 ","1,163 ","3,099 ","כפר כמא"
"Kafar Kanna",39,9,19,53,61,289,"1,021","1,310","4,717 ","6,208 ","20,042 ","כפר כנא"
"TABLE 9.- MOTOR VEHICLES REGISTERED IN LOCAL COUNCILS (1),",,,,,,,,,,,,"לוח 9.- כלי רכב מנועיים הרשומים במועצות מקומיות (1),"
"                   BY TYPE OF VEHICLE (Cont.)",,,,,,,,,,,,"              לפי סוג כלי רכב (המשך)"
"Absolute numbers",,,,,,2013,,,,,,"מספרים מוחלטים"
,"Type of vehicle",,,,,,,,," סוג  כלי רכב","אוכלוסייה",
,"אופנוע","כלי","מונית","אוטובוס","אוטובוס","  Truck",," משאית","כלי","סך כולל","קבועה (2)",
,,"רכב",,,"זעיר",,,,"רכב פרטי",,"בסוף 2012",
"Local council",,"מיוחד",,,,"מעל 3.5 ","עד 3.5 ","סך הכל",,,"Permanent","מועצה מקומית"
,,,,,,"טונות","טונות",,,,"population (2)",
,"Motor-","Special","Taxi","Bus","Minibus","Over","Up  to","Total","Private","Grand","at the end of ",
,"cycle","vehicle",,,,"3.5 tons","3.5 tons",,"car"," total",2012,
,,,,,,,,,,,,
"Kafar Manda",30,8,40,10,206,132,619,751,"3,535 ","4,580 ","17,821 ","כפר מנדא"
"Kafar Qara",136,3,6,29,34,259,923,"1,182","4,787 ","6,177 ","16,548 ","כפר קרע"
"Kefar Shemaryahu",64,1,5,0,3,25,132,157,"1,080 ","1,310 ","1,769 ","כפר שמריהו"
"Kefar Tavor",37,1,0,1,1,41,125,166,"1,360 ","1,566 ","3,216 ","כפר תבור"
"Lehavim",52,2,9,94,7,32,136,168,"2,414 ","2,746 ","6,166 ","להבים"
"Laqye",7,0,0,24,103,101,484,585,"1,429 ","2,148 ","10,235 ","לקיה"
"Mevasseret Ziyyon",360,11,86,23,19,152,588,740,"8,970 ","10,209 ","24,465 ","מבשרת ציון"
"Mughar",24,5,33,3,59,163,826,989,"4,836 ","5,949 ","20,711 ","מגאר"
"Majd Al-Kurum",62,3,10,11,27,136,454,590,"3,268 ","3,971 ","14,015 ","מג'ד אל-כרום"
"Migdal",38,0,4,0,3,28,83,111,"498 ","654 ","1,746 ","מגדל"
"Majdal Shams",27,7,9,6,38,211,823,"1,034","2,673 ","3,794 ","10,190 ","מג'דל שמס"
"Mazkeret Batya",188,4,39,0,6,106,353,459,"3,861 ","4,557 ","10,679 ","מזכרת בתיה"
"Mazra'a",61,1,4,1,1,37,169,206,"873 ","1,147 ","3,497 ","מזרעה"
"Metula",27,0,1,0,2,30,120,150,"623 ","803 ","1,557 ","מטולה"
