pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2014000059,1,1,1,70,206,165,,9380123,,,,,38,2014,2,16,1,4,5,1,1,3,2,9,0,3,1,1,3,3,6,2,2,2,9,9,9,0,0,9,6,61,613,0,13,1,168201,635083
2014000060,1,1,3,0,,,,,77,79,498,1355,14,2014,2,8,1,4,5,7,1,3,2,8,0,3,4,1,3,3,3,2,1,1,2,2,9,0,0,9,9,99,999,99,99,1,222132,740397
2014000061,1,1,2,31,109,,9999,,,,,,34,2014,2,2,1,4,5,1,9,3,2,9,3,0,1,1,2,3,6,6,1,1,9,9,9,0,0,9,6,62,622,0,16,3,163302,580685
2014000063,1,1,1,2640,554,561,,8490002,,,,,51,2014,1,26,1,4,5,1,0,3,2,9,0,3,1,1,2,3,6,5,1,1,3,4,9,0,0,9,4,42,422,0,16,1,197554,666847
2014000065,1,1,4,0,,,,,75,0,302,,14,2014,1,16,1,4,5,5,9,3,2,9,9,0,4,0,3,3,3,5,1,1,9,9,9,0,0,9,9,99,999,99,99,1,217372,734344
2014000066,1,1,1,6700,309,251,,8600165,,,,,14,2014,1,19,1,4,5,1,0,3,2,8,3,0,1,1,3,3,6,5,1,1,9,9,9,0,0,9,2,22,221,0,16,1,249936,743933
2014000067,1,1,4,0,,,,,652,0,50,,11,2014,1,17,1,4,5,6,9,3,2,9,2,0,4,1,4,3,6,6,1,1,9,9,9,0,0,9,9,99,999,99,99,1,196235,717058
2014000070,1,1,3,0,,,,,65,785,748,1149,14,2014,1,1,1,4,5,4,0,3,2,8,2,0,5,1,0,2,3,5,1,1,9,9,9,0,0,9,9,99,999,99,99,1,237705,745977
2014000071,1,1,4,0,,,,,6,0,1740,,11,2014,1,3,1,4,5,6,9,3,3,9,0,2,6,1,3,3,6,,1,1,9,9,9,0,0,9,9,99,999,99,99,1,202057,699150
2014000074,1,1,2,2600,332,,9999,,,,,,33,2014,1,14,1,4,5,3,9,3,3,9,9,0,1,0,4,3,3,,1,1,9,9,9,0,0,9,6,62,625,0,16,3,195556,386231
