,id,fcode_type,yishuv_symbol,yishuv_name,school_name,school_latin_name,usg,usg_code,e_ord,n_ord,longitude,latitude,geom,data_year,prdct_ver,x,y
351,54449953,252,9000,באר שבע,גן ילדים - גן נעמת,,13,5305,181722.4826,573742.554,34.80835744,31.254733,0101000020e61000009f23b041786741404436902e36413f40,-1,,181722.4826,573742.554
352,54450791,252,9000,באר שבע,בית ספר - טוביה,,13,5310,177205.1784,574695.4009,34.76089299,31.26317171,0101000020e610000020e705f164614140b2ae9f385f433f40,-1,,177205.1784,574695.4009
353,54450864,252,9000,באר שבע,בית ספר - רימון,,13,5310,177386.8945,574009.7215,34.76282968,31.25699422,0101000020e610000053022867a461414039298a5fca413f40,-1,,177386.8945,574009.7215
354,54452264,252,9000,באר שבע,בית ספר - בארי,,13,5310,179795.2829,572549.5466,34.78817218,31.24390939,0101000020e6100000c75b74d3e2644140c03c85d8703e3f40,-1,,179795.2829,572549.5466
355,54452951,252,9000,באר שבע,ישיבה - עין יצחק,,13,5340,179530.921,575091.8425,34.78529582,31.26682915,0101000020e6100000f24acc928464414096de48ea4e443f40,-1,,179530.921,575091.8425
356,54451904,252,9000,באר שבע,"מכללת - עמל ע""ש ליידי דיוויס",,13,5370,180157.6886,573476.6292,34.79194006,31.25228296,0101000020e6100000d00bb94a5e654140bf89b69d95403f40,-1,,180157.6886,573476.6292
357,54451920,252,9000,באר שבע,בית ספר - מצפה,,13,5310,179850.3374,574718.1887,34.78866437,31.2634701,0101000020e6100000d1553ef4f26441404ef9c6c672433f40,-1,,179850.3374,574718.1887
358,54448083,252,9000,באר שבע,מכללת - רדיו דרום,,13,5370,181442.4681,574184.8808,34.80540095,31.25871322,0101000020e61000006b35da60176741405ff192073b423f40,-1,,181442.4681,574184.8808
359,54446934,252,9000,באר שבע,בית ספר - אוריין,,13,5310,178546.8007,573770.2722,34.77501684,31.25487591,0101000020e61000001bd376c033634140fdfc318c3f413f40,-1,,178546.8007,573770.2722
360,54446980,252,9000,באר שבע,"בית ספר - מ""מ קהילתי גולדה מאיר",,13,5310,178432.6183,574744.1303,34.77377822,31.26365504,0101000020e6100000e8a02a2a0b634140bf398ee57e433f40,-1,,178432.6183,574744.1303
361,54448762,252,9000,באר שבע,מרכז הברכה סמינר מורים,,13,5370,180890.2153,573747.0913,34.7996198,31.25474669,0101000020e6100000f51d0df15966414073503e1437413f40,-1,,180890.2153,573747.0913
362,54449884,252,9000,באר שבע,גן ילדים - גן צוציקים,,13,5305,177469.2123,574913.6973,34.763656,31.26515004,0101000020e610000074b2d47abf61414046557edfe0433f40,-1,,177469.2123,574913.6973
363,54449859,252,9000,באר שבע,ישיבה - מוסדות המעין בנגב,,13,5340,179543.1524,572213.1366,34.78553892,31.24086673,0101000020e61000004d91118a8c644140620b2871a93d3f40,-1,,179543.1524,572213.1366
364,54450783,252,9000,באר שבע,גן ילדים - גן דליה,,13,5305,178247.4356,575473.6291,34.77180391,31.27022778,0101000020e6100000fe2f7478ca6241401892d5a52d453f40,-1,,178247.4356,575473.6291
365,54452084,252,9000,באר שבע,בית ספר - קורצק,,13,5310,178990.9581,573538.188,34.77968914,31.25279826,0101000020e610000056ac8edacc6341408a2f0363b7403f40,-1,,178990.9581,573538.188
366,54446770,252,9000,באר שבע,בית ספר - יעלים,,13,5320,180243.8825,573492.983,34.7928443,31.25243335,0101000020e6100000f6a809ec7b65414073abd6789f403f40,-1,,180243.8825,573492.983
367,54446791,252,9000,באר שבע,בית ספר - נתיבות יורם,,13,5310,179847.0704,573773.451,34.78866743,31.25494947,0101000020e61000009ba2e90df364414054c8535e44413f40,-1,,179847.0704,573773.451
368,54452299,252,9000,באר שבע,בית ספר - יסודות,,13,5312,179808.1237,574074.9334,34.78824662,31.25766719,0101000020e6100000910ae743e56441405e4d1a7af6413f40,-1,,179808.1237,574074.9334
369,54446613,252,9000,באר שבע,בית ספר - קהילתי גבים,,13,5310,177995.8761,573968.8553,34.76922481,31.25664746,0101000020e6100000641c65f5756241402d4ddfa5b3413f40,2014,,177995.8761,573968.8553
370,54452638,252,9000,באר שבע,בית ספר - אמית אפיקים בנגב,,13,5312,181192.2994,575539.674,34.8027227,31.27092383,0101000020e6100000e020109ebf6641409c8e9d435b453f40,2014,,181192.2994,575539.674
371,54447461,252,9000,באר שבע,מכללת - קיי,,13,5370,179098.308,575530.2602,34.78073584,31.2707683,0101000020e6100000bbcee926ef634140244b411251453f40,2014,,179098.308,575530.2602
372,54447704,252,9000,באר שבע,בית ספר מקיף ג,,13,5300,179267.303,573950.622,34.7825737,31.25652752,0101000020e6100000d81a00602b6441408aec9cc9ab413f40,2014,,179267.303,573950.622
373,54448246,252,9000,באר שבע,בית ספר - אחווה,,13,5310,179578.5967,573196.3589,34.78587186,31.24973556,0101000020e6100000fac5f8729764414027d96eabee3f3f40,2014,,179578.5967,573196.3589
374,54449176,252,9000,באר שבע,"המכללה - האקדמית להנדסה ע""ש סמי שמעון",,13,5370,179871.6524,573201.6627,34.78894809,31.24979338,0101000020e610000055654240fc64414078db7d75f23f3f40,2014,,179871.6524,573201.6627
375,54452224,252,9000,באר שבע,אוניברסיטת - בן גוריון בנגב,,13,5380,180727.0191,572796.4735,34.79794324,31.24616771,0101000020e6100000a1ee0b0123664140fec7d7d8043f3f40,2014,,180727.0191,572796.4735
376,54446518,252,9000,באר שבע,בית ספר - רננות מזור,,13,5310,180602.0313,574047.2363,34.79658269,31.25744412,0101000020e61000000b0eed6bf66541408ff29bdbe7413f40,-1,,180602.0313,574047.2363
377,54452707,252,9000,באר שבע,"קרית החינוך הדתית אמי""ת",,13,5300,179694.5297,575003.9019,34.78701715,31.26604162,0101000020e610000010525cfabc6441405d46b94d1b443f40,-1,,179694.5297,575003.9019
378,54449407,252,9000,באר שבע,גן ילדים - גן ספיר,,13,5305,178896.7341,574075.1857,34.77867822,31.25763812,0101000020e6100000f68058baab634140599a6392f4413f40,-1,,178896.7341,574075.1857
379,54446610,252,9000,באר שבע,בית אריאל מרכז למדעים,,13,5300,181369.2824,573766.533,34.80464849,31.25493778,0101000020e6100000b3a9c2b8fe664140669d339a43413f40,-1,,181369.2824,573766.533
380,54452401,252,9000,באר שבע,סמינר תיכון בית יעקב החדש,,13,5330,180618.1456,574893.1816,34.79671907,31.26507418,0101000020e6100000f1dff6e3fa654140301dc6e6db433f40,-1,,180618.1456,574893.1816
381,54448855,252,9000,באר שבע,ישיבה - משכן מאיר,,13,5340,179979.342,572363.3068,34.79011162,31.24223594,0101000020e6100000770ba860226541404037b02c033e3f40,-1,,179979.342,572363.3068
382,54452607,252,9000,באר שבע,בית ספר - נוה במדבר,,13,5310,178044.5301,574739.5743,34.76970375,31.26360023,0101000020e6100000e5ed08a7856241406e11ff4d7b433f40,-1,,178044.5301,574739.5743
383,54452983,252,9000,באר שבע,ישיבת - נתיב השבים,,13,5340,180640.2271,573052.0001,34.79702225,31.24846941,0101000020e610000098f738d304664140a401f6b09b3f3f40,-1,,180640.2271,573052.0001
384,54451035,252,9000,באר שבע,בית ספר - אמירים,,13,5310,180875.6133,575246.1573,34.79940876,31.26826619,0101000020e6100000ff2ab806536641402aacd017ad443f40,-1,,180875.6133,575246.1573
385,54451454,252,9000,באר שבע,גן ילדים - גן שליו,,13,5305,181786.6314,573742.2847,34.8090309,31.25473264,0101000020e61000000b7a14538e6741401406862836413f40,-1,,181786.6314,573742.2847
386,54446725,252,9000,באר שבע,"בית ספר - מקיף ע""ש קוהל",,13,5330,178331.0632,573063.1004,34.77278097,31.2484904,0101000020e6100000828fa07cea624140b55e1d119d3f3f40,2014,,178331.0632,573063.1004
387,54447388,252,9000,באר שבע,בית ספר - בר אילן,,13,5310,180256.735,572840.3988,34.79300475,31.24654817,0101000020e61000004d69fd2d81654140e509e7c71d3f3f40,2014,,180256.735,572840.3988
388,54448183,252,9000,באר שבע,בית ספר - נאות לון,,13,5310,177493.7926,572805.3162,34.76400239,31.24613565,0101000020e6100000d48e8fd4ca6141403421f7be023f3f40,2014,,177493.7926,572805.3162
389,54452803,252,9000,באר שבע,בית ספר - דגניה,,13,5310,181720.7853,573186.8713,34.80836054,31.24972126,0101000020e6100000a556b15b78674140e0d084bbed3f3f40,2014,,181720.7853,573186.8713
390,54448627,252,9000,באר שבע,"גן ילדים - רשת גני חב""ד",,13,5305,180125.4358,575723.8624,34.79151322,31.2725495,0101000020e61000003620214e50654140890ad5cdc5453f40,2014,,180125.4358,575723.8624
391,54452481,252,9000,באר שבע,בית ספר - בית יעקב לבנות,,13,5312,179673.3503,571676.7839,34.78692686,31.23603383,0101000020e6100000a105f404ba64414081998cb66c3c3f40,2014,,179673.3503,571676.7839
392,54452545,252,9000,באר שבע,בית ספר - יחדיו,,13,5310,178742.441,571872.6621,34.77714782,31.23776835,0101000020e610000063876b94796341401d46f762de3c3f40,2014,,178742.441,571872.6621
393,54447067,252,9000,באר שבע,בית ספר - רמות,,13,5310,181343.6405,575816.9042,34.80430126,31.27342911,0101000020e610000072eafb57f366414071393d73ff453f40,2014,,181343.6405,575816.9042
394,54452345,252,9000,באר שבע,כפר רפאל קהילה שיקומית,,13,5300,175916.1092,574116.4272,34.7473839,31.25790259,0101000020e610000049079046aa5f41408c9a75e705423f40,2014,,175916.1092,574116.4272
395,54446252,252,9000,באר שבע,מרכז ספורט אוניברסיטת בן גוריון,,13,5380,181616.8721,574526.2853,34.80721909,31.261798,0101000020e6100000e12084f4526741408028983105433f40,2014,,181616.8721,574526.2853
396,54446323,252,9000,באר שבע,"בי""ס טכני חיל האוויר",,13,5300,179252.5679,570945.4979,34.78253952,31.22942398,0101000020e6100000201d47412a644140a604ab87bb3a3f40,2014,,179252.5679,570945.4979
397,54451241,252,9000,באר שבע,בית ספר - עמית,,13,5310,179289.746,575249.3729,34.78275723,31.26824162,0101000020e61000005ec78f63316441407953997bab443f40,2014,,179289.746,575249.3729
398,54451406,252,9000,באר שבע,"בית ספר - מ""מ נווה שלום",,13,5310,178401.1386,571790.4348,34.77356872,31.23701479,0101000020e6100000e6cdc04c04634140e3b75300ad3c3f40,2014,,178401.1386,571790.4348
399,54446214,252,9000,באר שבע,אוניברסיטת - בן גוריון,,13,5380,181153.2663,574647.2103,34.80234699,31.26287348,0101000020e6100000090c614eb3664140f19527ad4b433f40,2014,,181153.2663,574647.2103
400,54447756,252,9000,באר שבע,בית ספר - מקיף חי,,13,5330,180145.9451,573386.2931,34.79182032,31.25146783,0101000020e6100000a85a455e5a65414099d8193260403f40,2014,,180145.9451,573386.2931
401,54452423,252,9000,באר שבע,בית ספר - מנחם בגין,,13,5310,177600.8994,575297.1585,34.76502262,31.26861317,0101000020e6100000d5ccde42ec614140c56c2cd5c3443f40,2014,,177600.8994,575297.1585
402,54452624,252,9000,באר שבע,"המכללה - הטכנולוגית ב""ש",,13,5370,180155.7099,573301.2612,34.79192617,31.25070126,0101000020e61000008f7f34d65d65414018c430f52d403f40,2014,,180155.7099,573301.2612
403,54448255,252,9000,באר שבע,"קרית אוניברסיטת בן גוריון ע""ש א.ברגמן",,13,5380,180945.4454,573448.8801,34.80021109,31.25205897,0101000020e610000027b926516d6641403ed0c8ef86403f40,2014,,180945.4454,573448.8801
404,54452304,252,9000,באר שבע,גן ילדים - גן שיר,,13,5305,178755.6949,571832.98,34.77728855,31.23741092,0101000020e610000013e7f2307e634140ff1c49f6c63c3f40,2014,,178755.6949,571832.98
